word,category,type,rel_type,freq,Nfreq,Vfreq,lemmalogfreq,logNfreq,logVfreq,NVratio,Vcatfreq,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nplural,Nsing,Ncollect,Nuncollect,Nmorph,Categories,MorphStatus,NPrel,SCrel,Nonerel,NPOnlyrel,entropy,bareformlength,Sform,edform,bareform,Sformlength,edformlength
story,n,count,no_rel,4090,4090,0,3.61182948,3.61182948,0,4091,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,5,stories,storyed,story,6,7
animal,n,count,no_rel,4658,4658,0,3.66829271,3.66829271,0,4659,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,animals,animaled,animal,7,8
town,n,count,no_rel,4005,4005,0,3.602710945,3.602710945,0,4006,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,['noun'],monomorphemic,,,,,,4,towns,towned,town,5,6
problem,n,count,no_rel,9053,9053,0,3.95684049,3.95684049,0,9054,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,7,problems,problemed,problem,8,9
river,n,count,no_rel,2288,2288,0,3.359645793,3.359645793,0,2289,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,5,rivers,rivered,river,6,7
island,n,count,no_rel,1632,1632,0,3.212986185,3.212986185,0,1633,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,6,islands,islanded,island,7,8
palace,n,count,no_rel,859,859,0,2.934498451,2.934498451,0,860,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,palaces,palaced,palace,7,8
lady,n,count,no_rel,2015,2015,0,3.304490528,3.304490528,0,2016,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,ladies,ladyed,lady,5,6
woman,n,count,no_rel,15241,15241,0,4.183041957,4.183041957,0,15242,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,women,womaned,woman,6,7
valley,n,count,no_rel,1013,1013,0,3.006037955,3.006037955,0,1014,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,6,valleys,valleyed,valley,7,8
creature,n,count,no_rel,1274,1274,0,3.105510185,3.105510185,0,1275,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,8,creatures,creatured,creature,9,10
moon,n,count,no_rel,1058,1058,0,3.02489596,3.02489596,0,1059,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,moons,mooned,moon,5,6
girl,n,count,no_rel,7856,7856,0,3.895256753,3.895256753,0,7857,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,girls,girled,girl,5,6
man,n,count,no_rel,29731,29231,120,4.473224124,4.46585853,2.08278537,241.5867769,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"['noun', 'verb', 'interjection']",monomorphemic,0.668054,0,0.177215,0.498365,1.886719765,3,men,maned,man,4,5
insect,n,count,no_rel,438,438,0,2.64246452,2.64246452,0,439,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,insects,insected,insect,7,8
jacket,n,count,no_rel,761,761,0,2.881954971,2.881954971,0,762,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,6,jackets,jacketed,jacket,7,8
cottage,n,count,no_rel,673,673,0,2.828659897,2.828659897,0,674,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],complex,,,,,,7,cottages,cottaged,cottage,8,9
kitty,n,count,no_rel,917,917,0,2.962842681,2.962842681,0,918,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,5,kitties,kittyed,kitty,6,7
hero,n,count,no_rel,740,740,0,2.869818208,2.869818208,0,741,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,heros,heroed,hero,5,6
factory,n,count,no_rel,1064,1064,0,3.027349608,3.027349608,0,1065,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,7,factories,factoryed,factory,8,9
monument,n,count,no_rel,303,303,0,2.482873584,2.482873584,0,304,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,8,monuments,monumented,monument,9,10
goat,n,count,no_rel,506,506,0,2.705007959,2.705007959,0,507,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,goats,goated,goat,5,6
weapon,n,count,no_rel,1856,1856,0,3.268811904,3.268811904,0,1857,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,weapons,weaponed,weapon,7,8
hotel,n,count,no_rel,2560,2560,0,3.408409578,3.408409578,0,2561,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,hotels,hoteled,hotel,6,7
district,n,count,no_rel,810,810,0,2.909020854,2.909020854,0,811,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,8,districts,districted,district,9,10
boy,n,count,no_rel,6423,6267,0,3.807805532,3.797128988,0,6268,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"['noun', 'interjection']",monomorphemic,,,,,,3,boys,boyed,boy,4,5
universe,n,count,no_rel,613,613,0,2.788168371,2.788168371,0,614,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,8,universes,universed,universe,9,10
restaurant,n,count,no_rel,823,823,0,2.915927212,2.915927212,0,824,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,10,restaurants,restauranted,restaurant,11,12
mountain,n,count,no_rel,1502,1502,0,3.176958981,3.176958981,0,1503,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,8,mountains,mountained,mountain,9,10
cat,n,count,no_rel,1195,1195,0,3.07773118,3.07773118,0,1196,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,3,cats,cated,cat,4,5
street,n,count,no_rel,5762,5762,0,3.76064862,3.76064862,0,5763,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,streets,streted,street,7,8
magazine,n,count,no_rel,1144,1144,0,3.058805487,3.058805487,0,1145,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,8,magazines,magazined,magazine,9,10
window,n,count,no_rel,3584,3584,0,3.55448916,3.55448916,0,3585,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,windows,windowed,window,7,8
tent,n,count,no_rel,785,785,0,2.895422546,2.895422546,0,786,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,4,tents,tented,tent,5,6
witch,n,count,no_rel,566,566,0,2.753583059,2.753583059,0,567,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,witches,witched,witch,6,7
infant,n,count,no_rel,659,659,0,2.819543936,2.819543936,0,660,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,6,infants,infanted,infant,7,8
camera,n,count,no_rel,651,651,0,2.814247596,2.814247596,0,652,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,cameras,cameraed,camera,7,8
target,n,count,no_rel,849,849,0,2.929418926,2.929418926,0,850,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,targets,targeted,target,7,8
device,n,count,no_rel,1002,1002,0,3.001300933,3.001300933,0,1003,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],zero_derivation,,,,,,6,devices,deviced,device,7,8
angel,n,count,no_rel,403,403,0,2.606381365,2.606381365,0,404,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,angels,angeled,angel,6,7
kitchen,n,count,no_rel,1994,1994,0,3.2999429,3.2999429,0,1995,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,7,kitchens,kitchened,kitchen,8,9
biscuit,n,count,no_rel,277,277,0,2.444044796,2.444044796,0,278,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,7,biscuits,biscuited,biscuit,8,9
planet,n,count,no_rel,628,628,0,2.798650645,2.798650645,0,629,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,planets,planeted,planet,7,8
engine,n,count,no_rel,1087,1087,0,3.036628895,3.036628895,0,1088,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,6,engines,engined,engine,7,8
vehicle,n,count,no_rel,762,762,0,2.882524538,2.882524538,0,763,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,7,vehicles,vehicled,vehicle,8,9
peasant,n,count,no_rel,629,629,0,2.799340549,2.799340549,0,630,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,7,peasants,peasanted,peasant,8,9
secretary,n,count,no_rel,1763,1763,0,3.246498581,3.246498581,0,1764,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,9,secretaries,secretaryed,secretary,10,11
chamber,n,count,no_rel,834,834,0,2.921686475,2.921686475,0,835,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,['noun'],may_include_a_root,,,,,,7,chambers,chambered,chamber,8,9
library,n,count,no_rel,1113,1113,0,3.046885191,3.046885191,0,1114,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,['noun'],obscure,,,,,,7,libraries,libraryed,library,8,9
world,n,count,no_rel,13567,13567,0,4.132515835,4.132515835,0,13568,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,['noun'],monomorphemic,,,,,,5,worlds,worlded,world,6,7
