,target,Categories,Nfreq,Vfreq,freq,NVratio,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
50,ancestor,['noun'],492,0,492,493.0,False,False,False,0,obscure,rel
51,foe,['noun'],259,0,259,260.0,False,False,False,1,monomorphemic,rel
52,daughter,['noun'],2305,0,2305,2306.0,False,False,False,0,may_include_a_root,rel
53,sister,['noun'],2039,0,2039,2040.0,False,False,False,0,may_include_a_root,rel
54,brother,['noun'],2478,0,2478,2479.0,False,False,False,0,may_include_a_root,rel
55,father,['noun'],5386,17,5403,299.2777778,False,True,False,0,may_include_a_root,rel
56,mother,['noun'],8506,50,8556,166.8039216,False,True,False,0,may_include_a_root,rel
57,son,['noun'],3689,0,3689,3690.0,False,False,False,1,monomorphemic,rel
58,uncle,['noun'],1188,0,1188,1189.0,False,False,False,1,monomorphemic,rel
59,aunt,['noun'],608,0,608,609.0,False,False,False,1,monomorphemic,rel
60,boss,['noun'],481,46,527,10.25531915,False,True,True,1,monomorphemic,rel
61,colleague,['noun'],913,0,913,914.0,False,False,False,0,may_include_a_root,rel
62,cousin,['noun'],575,0,575,576.0,False,False,False,1,monomorphemic,rel
63,niece,['noun'],95,0,95,96.0,False,False,False,1,monomorphemic,rel
64,widow,['noun'],367,0,367,368.0,False,False,False,1,monomorphemic,rel
65,nephew,['noun'],161,0,161,162.0,False,False,False,1,monomorphemic,rel
66,friend,['noun'],6386,0,6386,6387.0,False,False,False,1,monomorphemic,rel
67,parent,['noun'],5679,0,5679,5680.0,False,False,False,1,monomorphemic,rel
68,address,['noun'],876,631,1507,1.387658228,False,True,False,1,zero_derivation,rel
69,client,['noun'],455,0,455,456.0,False,False,False,1,monomorphemic,rel
70,enemy,['noun'],1443,0,1443,1444.0,False,False,False,0,may_include_a_root,rel
71,height,['noun'],835,0,835,836.0,False,False,False,1,monomorphemic,rel
72,age,['noun'],5206,151,5357,34.25657895,False,True,True,1,monomorphemic,rel
73,husband,['noun'],2762,14,2776,184.2,False,True,False,1,monomorphemic,rel
74,wife,['noun'],4442,0,4442,4443.0,False,False,False,1,monomorphemic,rel
75,location,['noun'],412,0,412,413.0,False,False,False,1,complex,rel
76,partner,['noun'],733,19,752,36.7,False,True,False,0,may_include_a_root,rel
77,sibling,['noun'],38,0,38,39.0,False,False,False,1,complex,rel
78,spouse,['noun'],72,0,72,73.0,False,False,False,1,monomorphemic,rel
79,speed,['noun'],1438,298,1736,4.81270903,False,False,True,1,zero_derivation,rel
80,weight,['noun'],1803,43,1846,41.0,False,True,False,1,monomorphemic,rel
81,student,['noun'],5453,0,5453,5454.0,False,False,False,1,complex,rel
82,value,['noun'],3097,190,3287,16.21989529,False,True,False,1,monomorphemic,rel
83,distance,['noun'],1841,15,1856,115.125,False,True,False,1,complex,rel
84,price,['noun'],2875,102,2977,27.9223301,False,True,False,1,monomorphemic,rel
85,audience,['noun'],1355,0,1355,1356.0,False,False,False,0,obscure,rel
86,veteran,['noun'],140,0,211,141.0,False,False,False,0,may_include_a_root,rel
87,thief,['noun'],213,0,213,214.0,False,False,False,1,monomorphemic,rel
88,passenger,['noun'],730,0,730,731.0,False,False,False,0,may_include_a_root,rel
89,interior,['noun'],355,0,507,356.0,False,False,False,1,zero_derivation,rel
90,customer,['noun'],690,0,690,691.0,False,False,False,0,obscure,rel
91,opponent,['noun'],612,0,612,613.0,False,False,False,1,complex,rel
92,victim,['noun'],972,0,972,973.0,False,False,False,1,monomorphemic,rel
93,border,['noun'],785,100,885,7.782178218,False,True,False,0,may_include_a_root,rel
94,predator,['noun'],129,0,129,130.0,False,False,False,0,obscure,rel
95,assassin,['noun'],95,0,95,96.0,False,False,False,1,monomorphemic,rel
96,citizen,['noun'],867,0,867,868.0,False,False,False,1,monomorphemic,rel
97,president,['noun'],2469,0,2469,2470.0,False,False,False,1,complex,rel
98,heir,['noun'],174,0,174,175.0,False,False,False,1,monomorphemic,rel
99,candidate,['noun'],980,0,980,981.0,False,False,False,0,may_include_a_root,rel
61,succumb,['verb'],0,107,107,0.00925925925926,False,False,True,1,monomorphemic,norel
90,lengthen,['verb'],0,111,111,0.00892857142857,False,True,True,1,complex,norel
120,unpack,['verb'],0,84,84,0.0117647058824,False,True,True,1,complex,norel
195,secede,['verb'],0,14,14,0.0666666666667,False,False,True,1,monomorphemic,norel
211,defecate,['verb'],0,18,18,0.0526315789474,False,False,True,0,obscure,norel
256,connive,['verb'],0,15,15,0.0625,False,False,True,1,monomorphemic,norel
330,withdraw,['verb'],0,775,775,0.00128865979381,False,True,True,1,complex,norel
626,swelter,['verb'],0,5,5,0.166666666667,False,False,True,1,monomorphemic,norel
741,embark,['verb'],0,206,206,0.0048309178744,False,True,True,1,complex,norel
899,yearn,['verb'],0,102,102,0.00970873786408,False,False,True,1,monomorphemic,norel
907,depose,['verb'],0,21,21,0.0454545454545,False,True,True,0,obscure,norel
927,baby-sit,['verb'],0,9,9,0.1,False,False,True,1,complex,norel
961,hibernate,['verb'],0,17,17,0.0555555555556,False,False,True,0,obscure,norel
1072,subsist,['verb'],0,32,32,0.030303030303,False,False,True,0,obscure,norel
1093,obsolesce,['verb'],0,2,2,0.333333333333,False,False,True,0,may_include_a_root,norel
1138,narrate,['verb'],0,13,13,0.0714285714286,False,True,True,0,obscure,norel
1211,deflate,['verb'],0,39,39,0.025,False,True,True,1,complex,norel
1333,glean,['verb'],0,38,38,0.025641025641,False,True,True,1,monomorphemic,norel
1355,pule,['verb'],0,2,2,0.333333333333,False,False,True,1,monomorphemic,norel
1423,beware,['verb'],0,92,92,0.010752688172,False,True,True,0,may_include_a_root,norel
1426,importune,['verb'],0,8,8,0.111111111111,False,True,True,0,may_include_a_root,norel
1454,conceptualize,['verb'],0,8,8,0.111111111111,False,True,True,1,complex,norel
1503,depart,['verb'],0,350,350,0.002849002849,False,False,True,0,obscure,norel
1521,automate,['verb'],0,61,61,0.0161290322581,False,True,True,0,obscure,norel
1545,learn,['verb'],0,5524,5524,0.000180995475113,False,True,True,1,monomorphemic,norel
1563,enlarge,['verb'],0,241,241,0.00413223140496,False,True,True,1,complex,norel
1574,sympathize,['verb'],0,97,97,0.0102040816327,False,False,True,1,complex,norel
1600,dawdle,['verb'],0,42,42,0.0232558139535,False,False,True,1,monomorphemic,norel
1737,jostle,['verb'],0,91,91,0.0108695652174,False,True,True,1,monomorphemic,norel
1772,agonize,['verb'],0,30,30,0.0322580645161,False,True,True,1,complex,norel
1823,thrive,['verb'],0,213,213,0.00467289719626,False,False,True,1,monomorphemic,norel
1825,oxidize,['verb'],0,8,8,0.111111111111,False,True,True,1,complex,norel
1906,urinate,['verb'],0,53,53,0.0185185185185,False,False,True,1,complex,norel
1937,reap,['verb'],0,78,78,0.0126582278481,False,True,True,1,monomorphemic,norel
1981,behave,['verb'],0,825,825,0.00121065375303,False,True,True,0,may_include_a_root,norel
2005,frizzle,['verb'],0,5,5,0.166666666667,False,True,True,1,monomorphemic,norel
2038,angle-park,['verb'],0,1,1,0.5,False,True,True,1,complex,norel
2068,copulate,['verb'],0,39,39,0.025,False,False,True,0,obscure,norel
2097,broaden,['verb'],0,109,109,0.00909090909091,False,True,True,1,complex,norel
2140,croon,['verb'],0,36,36,0.027027027027,False,True,True,1,monomorphemic,norel
2239,remarry,['verb'],0,41,41,0.0238095238095,False,True,True,1,complex,norel
2282,prosper,['verb'],0,106,106,0.00934579439252,False,True,True,1,monomorphemic,norel
2330,sever,['verb'],0,129,129,0.00769230769231,False,True,True,1,monomorphemic,norel
2492,exude,['verb'],0,58,58,0.0169491525424,False,True,True,0,may_include_a_root,norel
2545,roughen,['verb'],0,16,16,0.0588235294118,False,True,True,1,complex,norel
2552,exaggerate,['verb'],0,231,231,0.00431034482759,False,True,True,0,obscure,norel
2576,globe-trot,['verb'],0,2,2,0.333333333333,False,False,True,1,complex,norel
2590,fornicate,['verb'],0,4,4,0.2,False,False,True,0,obscure,norel
2639,splatter,['verb'],0,32,32,0.030303030303,False,True,True,1,complex,norel
2644,diversify,['verb'],0,66,66,0.0149253731343,False,True,True,1,complex,norel
2664,practise,['verb'],0,870,870,0.00114810562572,False,True,True,0,obscure,norel
2749,reactivate,['verb'],0,10,10,0.0909090909091,False,True,True,1,complex,norel
2814,compete,['verb'],0,469,469,0.00212765957447,False,False,True,1,monomorphemic,norel
2816,toddle,['verb'],0,23,23,0.0416666666667,False,False,True,1,monomorphemic,norel
2855,over-exert,['verb'],0,1,1,0.5,False,True,True,1,complex,norel
2921,reflate,['verb'],0,13,13,0.0714285714286,False,True,True,1,complex,norel
2943,err,['verb'],0,51,51,0.0192307692308,False,False,True,1,monomorphemic,norel
2955,flunk,['verb'],0,17,17,0.0555555555556,False,True,True,1,monomorphemic,norel
2967,particularize,['verb'],0,10,10,0.0909090909091,False,True,True,1,complex,norel
2976,deliquesce,['verb'],0,1,1,0.5,False,False,True,0,obscure,norel
2990,appreciate,['verb'],0,624,624,0.0016,False,True,True,0,obscure,norel
3018,collide,['verb'],0,93,93,0.0106382978723,False,False,True,0,may_include_a_root,norel
3092,disembark,['verb'],0,19,19,0.05,False,True,True,1,complex,norel
3107,fumble,['verb'],0,156,156,0.00636942675159,False,True,True,1,monomorphemic,norel
3304,over-eat,['verb'],0,11,11,0.0833333333333,False,False,True,1,complex,norel
3365,josh,['verb'],0,34,34,0.0285714285714,False,True,True,1,monomorphemic,norel
3398,flatter,['verb'],0,229,229,0.00434782608696,False,True,True,0,may_include_a_root,norel
3402,flatten,['verb'],0,169,169,0.00588235294118,False,True,True,1,complex,norel
3409,matriculate,['verb'],0,8,8,0.111111111111,False,True,True,0,obscure,norel
3422,pulverize,['verb'],0,21,21,0.0454545454545,False,True,True,0,obscure,norel
3427,procure,['verb'],0,44,44,0.0222222222222,True,True,True,0,obscure,norel
3586,agitate,['verb'],0,25,25,0.0384615384615,False,True,True,0,obscure,norel
3654,coalesce,['verb'],0,32,32,0.030303030303,False,False,True,0,obscure,norel
3692,occur,['verb'],0,2232,2232,0.000447828034035,False,False,True,1,monomorphemic,norel
3706,escalate,['verb'],0,100,100,0.00990099009901,False,True,True,0,obscure,norel
3827,suffice,['verb'],0,93,93,0.0106382978723,False,True,True,0,obscure,norel
3923,industrialize,['verb'],0,171,171,0.00581395348837,False,True,True,1,complex,norel
3962,canoodle,['verb'],0,1,1,0.5,False,False,True,0,obscure,norel
3993,despond,['verb'],0,4,4,0.2,False,False,True,0,may_include_a_root,norel
4061,develop,['verb'],0,4492,4492,0.000222568439795,False,True,True,0,may_include_a_root,norel
4062,inquire,['verb'],0,464,464,0.00215053763441,False,True,True,0,may_include_a_root,norel
4063,pester,['verb'],0,38,38,0.025641025641,False,True,True,1,complex,norel
4114,exult,['verb'],0,17,17,0.0555555555556,False,False,True,0,may_include_a_root,norel
4167,sadden,['verb'],0,59,59,0.0166666666667,False,True,True,1,complex,norel
4176,assemble,['verb'],0,425,425,0.00234741784038,False,True,True,0,may_include_a_root,norel
4271,dabble,['verb'],0,43,43,0.0227272727273,False,False,True,1,complex,norel
4312,decide,['verb'],0,4479,4479,0.000223214285714,False,True,True,1,monomorphemic,norel
4377,ask,['verb'],0,14651,14651,6.82500682501e-05,True,True,True,1,monomorphemic,norel
4414,rejuvenate,['verb'],0,35,35,0.0277777777778,False,True,True,1,complex,norel
4448,criticize,['verb'],0,498,498,0.00200400801603,False,True,True,1,complex,norel
4524,shrivel,['verb'],0,76,76,0.012987012987,False,True,True,1,monomorphemic,norel
4702,rhapsodize,['verb'],0,2,2,0.333333333333,False,False,True,1,complex,norel
4706,conjoin,['verb'],0,7,7,0.125,False,True,True,0,obscure,norel
4750,threaten,['verb'],0,1127,1127,0.000886524822695,False,True,True,1,complex,norel
4820,romanticize,['verb'],0,18,18,0.0526315789474,False,True,True,1,complex,norel
4858,stagnate,['verb'],0,29,29,0.0333333333333,False,False,True,0,obscure,norel
4937,maraud,['verb'],0,29,29,0.0333333333333,False,False,True,1,monomorphemic,norel
5005,teethe,['verb'],0,56,56,0.0175438596491,False,False,True,1,zero_derivation,norel
5026,evangelize,['verb'],0,3,3,0.25,False,True,True,1,complex,norel
5074,manage,['verb'],0,2289,2289,0.000436681222707,False,True,True,0,obscure,norel
5086,depreciate,['verb'],0,14,14,0.0666666666667,False,True,True,0,obscure,norel
