,target,Categories,Nfreq,Vfreq,freq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,MorphStatus,rel_type
61,succumb,['verb'],0,107,107,0.00925925925926,False,False,False,False,True,1,monomorphemic,norel
90,lengthen,['verb'],0,111,111,0.00892857142857,False,False,False,True,True,1,complex,norel
120,unpack,['verb'],0,84,84,0.0117647058824,False,False,False,True,True,1,complex,norel
195,secede,['verb'],0,14,14,0.0666666666667,False,False,False,False,True,1,monomorphemic,norel
211,defecate,['verb'],0,18,18,0.0526315789474,False,False,False,False,True,0,obscure,norel
256,connive,['verb'],0,15,15,0.0625,False,False,False,False,True,1,monomorphemic,norel
330,withdraw,['verb'],0,775,775,0.00128865979381,False,False,False,True,True,1,complex,norel
626,swelter,['verb'],0,5,5,0.166666666667,False,False,False,False,True,1,monomorphemic,norel
741,embark,['verb'],0,206,206,0.0048309178744,False,False,False,True,True,1,complex,norel
899,yearn,['verb'],0,102,102,0.00970873786408,False,False,False,False,True,1,monomorphemic,norel
907,depose,['verb'],0,21,21,0.0454545454545,False,False,False,True,True,0,obscure,norel
927,baby-sit,['verb'],0,9,9,0.1,False,False,False,False,True,1,complex,norel
961,hibernate,['verb'],0,17,17,0.0555555555556,False,False,False,False,True,0,obscure,norel
1072,subsist,['verb'],0,32,32,0.030303030303,False,False,False,False,True,0,obscure,norel
1093,obsolesce,['verb'],0,2,2,0.333333333333,False,False,False,False,True,0,may_include_a_root,norel
1138,narrate,['verb'],0,13,13,0.0714285714286,False,False,False,True,True,0,obscure,norel
1211,deflate,['verb'],0,39,39,0.025,False,False,False,True,True,1,complex,norel
1333,glean,['verb'],0,38,38,0.025641025641,False,False,False,True,True,1,monomorphemic,norel
1355,pule,['verb'],0,2,2,0.333333333333,False,False,False,False,True,1,monomorphemic,norel
1423,beware,['verb'],0,92,92,0.010752688172,False,False,False,True,True,0,may_include_a_root,norel
1426,importune,['verb'],0,8,8,0.111111111111,False,False,False,True,True,0,may_include_a_root,norel
1454,conceptualize,['verb'],0,8,8,0.111111111111,False,False,False,True,True,1,complex,norel
1503,depart,['verb'],0,350,350,0.002849002849,False,False,False,False,True,0,obscure,norel
1521,automate,['verb'],0,61,61,0.0161290322581,False,False,False,True,True,0,obscure,norel
1545,learn,['verb'],0,5524,5524,0.000180995475113,False,False,False,True,True,1,monomorphemic,norel
1563,enlarge,['verb'],0,241,241,0.00413223140496,False,False,False,True,True,1,complex,norel
1574,sympathize,['verb'],0,97,97,0.0102040816327,False,False,False,False,True,1,complex,norel
1600,dawdle,['verb'],0,42,42,0.0232558139535,False,False,False,False,True,1,monomorphemic,norel
1737,jostle,['verb'],0,91,91,0.0108695652174,False,False,False,True,True,1,monomorphemic,norel
1772,agonize,['verb'],0,30,30,0.0322580645161,False,False,False,True,True,1,complex,norel
1823,thrive,['verb'],0,213,213,0.00467289719626,False,False,False,False,True,1,monomorphemic,norel
1825,oxidize,['verb'],0,8,8,0.111111111111,False,False,False,True,True,1,complex,norel
1906,urinate,['verb'],0,53,53,0.0185185185185,False,False,False,False,True,1,complex,norel
1937,reap,['verb'],0,78,78,0.0126582278481,False,False,False,True,True,1,monomorphemic,norel
1981,behave,['verb'],0,825,825,0.00121065375303,False,False,False,True,True,0,may_include_a_root,norel
2005,frizzle,['verb'],0,5,5,0.166666666667,False,False,False,True,True,1,monomorphemic,norel
2038,angle-park,['verb'],0,1,1,0.5,False,False,False,True,True,1,complex,norel
2068,copulate,['verb'],0,39,39,0.025,False,False,False,False,True,0,obscure,norel
2097,broaden,['verb'],0,109,109,0.00909090909091,False,False,False,True,True,1,complex,norel
2140,croon,['verb'],0,36,36,0.027027027027,False,False,False,True,True,1,monomorphemic,norel
2239,remarry,['verb'],0,41,41,0.0238095238095,False,False,False,True,True,1,complex,norel
2282,prosper,['verb'],0,106,106,0.00934579439252,False,False,False,True,True,1,monomorphemic,norel
2330,sever,['verb'],0,129,129,0.00769230769231,False,False,False,True,True,1,monomorphemic,norel
2492,exude,['verb'],0,58,58,0.0169491525424,False,False,False,True,True,0,may_include_a_root,norel
2545,roughen,['verb'],0,16,16,0.0588235294118,False,False,False,True,True,1,complex,norel
2552,exaggerate,['verb'],0,231,231,0.00431034482759,False,False,False,True,True,0,obscure,norel
2576,globe-trot,['verb'],0,2,2,0.333333333333,False,False,False,False,True,1,complex,norel
2590,fornicate,['verb'],0,4,4,0.2,False,False,False,False,True,0,obscure,norel
2639,splatter,['verb'],0,32,32,0.030303030303,False,False,False,True,True,1,complex,norel
2644,diversify,['verb'],0,66,66,0.0149253731343,False,False,False,True,True,1,complex,norel
2664,practise,['verb'],0,870,870,0.00114810562572,False,False,False,True,True,0,obscure,norel
2749,reactivate,['verb'],0,10,10,0.0909090909091,False,False,False,True,True,1,complex,norel
2814,compete,['verb'],0,469,469,0.00212765957447,False,False,False,False,True,1,monomorphemic,norel
2816,toddle,['verb'],0,23,23,0.0416666666667,False,False,False,False,True,1,monomorphemic,norel
2855,over-exert,['verb'],0,1,1,0.5,False,False,False,True,True,1,complex,norel
2921,reflate,['verb'],0,13,13,0.0714285714286,False,False,False,True,True,1,complex,norel
2943,err,['verb'],0,51,51,0.0192307692308,False,False,False,False,True,1,monomorphemic,norel
2955,flunk,['verb'],0,17,17,0.0555555555556,False,False,False,True,True,1,monomorphemic,norel
2967,particularize,['verb'],0,10,10,0.0909090909091,False,False,False,True,True,1,complex,norel
2976,deliquesce,['verb'],0,1,1,0.5,False,False,False,False,True,0,obscure,norel
2990,appreciate,['verb'],0,624,624,0.0016,False,False,False,True,True,0,obscure,norel
3018,collide,['verb'],0,93,93,0.0106382978723,False,False,False,False,True,0,may_include_a_root,norel
3092,disembark,['verb'],0,19,19,0.05,False,False,False,True,True,1,complex,norel
3107,fumble,['verb'],0,156,156,0.00636942675159,False,False,False,True,True,1,monomorphemic,norel
3304,over-eat,['verb'],0,11,11,0.0833333333333,False,False,False,False,True,1,complex,norel
3365,josh,['verb'],0,34,34,0.0285714285714,False,False,False,True,True,1,monomorphemic,norel
3398,flatter,['verb'],0,229,229,0.00434782608696,False,False,False,True,True,0,may_include_a_root,norel
3402,flatten,['verb'],0,169,169,0.00588235294118,False,False,False,True,True,1,complex,norel
3409,matriculate,['verb'],0,8,8,0.111111111111,False,False,False,True,True,0,obscure,norel
3422,pulverize,['verb'],0,21,21,0.0454545454545,False,False,False,True,True,0,obscure,norel
3427,procure,['verb'],0,44,44,0.0222222222222,False,False,True,True,True,0,obscure,norel
3586,agitate,['verb'],0,25,25,0.0384615384615,False,False,False,True,True,0,obscure,norel
3654,coalesce,['verb'],0,32,32,0.030303030303,False,False,False,False,True,0,obscure,norel
3692,occur,['verb'],0,2232,2232,0.000447828034035,False,False,False,False,True,1,monomorphemic,norel
3706,escalate,['verb'],0,100,100,0.00990099009901,False,False,False,True,True,0,obscure,norel
3827,suffice,['verb'],0,93,93,0.0106382978723,False,False,False,True,True,0,obscure,norel
3923,industrialize,['verb'],0,171,171,0.00581395348837,False,False,False,True,True,1,complex,norel
3962,canoodle,['verb'],0,1,1,0.5,False,False,False,False,True,0,obscure,norel
