,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
3,mustachio,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,monomorphemic
15,nunnery,['noun'],15,0,1.20411998266,16.0,True,False,False,False,False,1,,,,complex
16,opener,['noun'],50,0,1.7075701761,51.0,True,False,False,False,False,1,,,,complex
29,rawhide,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,1,,,,complex
30,medicament,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,0,,,,obscure
33,broiler,['noun'],16,0,1.23044892138,17.0,True,False,False,False,False,1,,,,complex
37,crotch,['noun'],40,0,1.61278385672,41.0,True,False,False,False,False,1,,,,monomorphemic
66,chine,['noun'],10,0,1.04139268516,11.0,True,False,False,False,False,1,,,,monomorphemic
69,virtuoso,['noun'],52,0,1.7242758696,53.0,True,False,False,False,False,0,,,,undetermined
74,Netherlander,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
77,cupful,['noun'],19,0,1.30102999566,20.0,True,False,False,False,False,1,,,,complex
79,lingo,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,0,,,,obscure
81,neurologist,['noun'],12,0,1.11394335231,13.0,True,False,False,False,False,1,,,,complex
83,climber,['noun'],174,0,2.24303804869,175.0,True,False,False,False,False,1,,,,complex
100,cannibal,['noun'],38,0,1.59106460703,39.0,True,False,False,False,False,1,,,,monomorphemic
101,prospector,['noun'],12,0,1.11394335231,13.0,True,False,False,False,False,1,,,,complex
111,crooner,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,complex
112,yahoo,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,monomorphemic
114,tax-payer,['noun'],19,0,1.30102999566,20.0,True,False,False,False,False,2,,,,complex
122,copse,['noun'],39,0,1.60205999133,40.0,True,False,False,False,False,1,,,,monomorphemic
128,wineskin,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
129,locker,['noun'],120,0,2.08278537032,121.0,True,False,False,False,False,2,,,,complex
130,locket,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,0,,,,obscure
133,wand,['noun'],37,0,1.57978359662,38.0,True,False,False,False,False,1,,,,monomorphemic
139,pinta,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,0,,,,obscure
146,flick-knife,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
150,cutback,['noun'],24,0,1.39794000867,25.0,True,False,False,False,False,1,,,,zero_derivation
151,playback,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,zero_derivation
165,wristlet,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,complex
170,caisson,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,0,,,,may_include_a_root
171,deodar,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,1,,,,monomorphemic
173,tulip,['noun'],42,0,1.63346845558,43.0,True,False,False,False,False,1,,,,monomorphemic
174,perpetrator,['noun'],25,0,1.41497334797,26.0,True,False,False,False,False,1,,,,complex
183,stomach-pump,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
188,hobbledehoy,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,0,,,,may_include_a_root
191,lifeline,['noun'],26,0,1.43136376416,27.0,True,False,False,False,False,1,,,,complex
194,half-mast,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
197,fig,['noun'],97,0,1.99122607569,98.0,True,False,False,False,False,1,,,,monomorphemic
200,fin,['noun'],139,0,2.14612803568,140.0,True,False,False,False,False,1,,,,monomorphemic
201,Copt,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,monomorphemic
202,paterfamilias,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,0,,,,may_include_a_root
204,municipality,['noun'],8,0,0.954242509439,9.0,True,False,False,False,False,1,,,,complex
214,Orangeman,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
218,arrow,['noun'],264,0,2.42324587394,265.0,True,False,False,False,False,1,,,,monomorphemic
219,dry-cleaner,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
231,ideograph,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
235,mason,['noun'],88,0,1.94939000664,89.0,True,False,False,False,False,1,,,,monomorphemic
243,outburst,['noun'],152,0,2.18469143082,153.0,True,False,False,False,False,1,,,,zero_derivation
244,nightdress,['noun'],39,0,1.60205999133,40.0,True,False,False,False,False,1,,,,complex
260,portmanteau,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,0,,,,undetermined
264,stripe,['noun'],128,0,2.1105897103,129.0,True,False,False,False,False,1,,,,monomorphemic
265,behaviourist,['noun'],11,0,1.07918124605,12.0,True,False,False,False,False,1,,,,complex
269,chevron,['noun'],10,0,1.04139268516,11.0,True,False,False,False,False,1,,,,monomorphemic
279,waterfowl,['noun'],6,0,0.845098040014,7.0,True,False,False,False,False,1,,,,complex
286,treasure-house,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
293,scraper,['noun'],13,0,1.14612803568,14.0,True,False,False,False,False,1,,,,complex
299,tilt-yard,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
302,regulator,['noun'],33,0,1.53147891704,34.0,True,False,False,False,False,1,,,,complex
306,confrere,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,0,,,,undetermined
308,also-ran,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
313,spectrum,['noun'],165,0,2.22010808804,166.0,True,False,False,False,False,0,,,,may_include_a_root
318,tale,['noun'],572,0,2.75815462197,573.0,True,False,False,False,False,1,,,,monomorphemic
322,hymen,['noun'],9,0,1.0,10.0,True,False,False,False,False,1,,,,monomorphemic
323,beltway,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
327,greenback,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,complex
334,encomium,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,0,,,,obscure
343,singer,['noun'],215,0,2.33445375115,216.0,True,False,False,False,False,1,,,,complex
345,blood-type,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
347,tech,['noun'],73,0,1.86923171973,74.0,True,False,False,False,False,1,,,,monomorphemic
354,saying,['noun'],106,0,2.02938377769,107.0,True,False,False,False,False,1,,,,zero_derivation
358,ulcer,['noun'],64,0,1.81291335664,65.0,True,False,False,False,False,0,,,,may_include_a_root
359,loiterer,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
367,excavator,['noun'],10,0,1.04139268516,11.0,True,False,False,False,False,1,,,,complex
379,jaguar,['noun'],90,0,1.95904139232,91.0,True,False,False,False,False,1,,,,monomorphemic
382,boarder,['noun'],22,0,1.36172783602,23.0,True,False,False,False,False,1,,,,complex
384,pretzel,['noun'],11,0,1.07918124605,12.0,True,False,False,False,False,0,,,,undetermined
391,heirloom,['noun'],18,0,1.27875360095,19.0,True,False,False,False,False,1,,,,complex
404,drover,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,complex
413,letting,['noun'],13,0,1.14612803568,14.0,True,False,False,False,False,1,,,,zero_derivation
417,vestment,['noun'],18,0,1.27875360095,19.0,True,False,False,False,False,1,,,,complex
420,pharisee,['noun'],2,0,0.47712125472,3.0,True,False,False,False,False,1,,,,monomorphemic
422,wheelbarrow,['noun'],22,0,1.36172783602,23.0,True,False,False,False,False,1,,,,complex
442,physiotherapist,['noun'],25,0,1.41497334797,26.0,True,False,False,False,False,2,,,,complex
444,gopher,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,0,,,,may_include_a_root
447,charnel,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,complex
456,layette,['noun'],4,0,0.698970004336,5.0,True,False,False,False,False,0,,,,undetermined
462,progenitor,['noun'],5,0,0.778151250384,6.0,True,False,False,False,False,0,,,,obscure
465,mothball,['noun'],7,0,0.903089986992,8.0,True,False,False,False,False,1,,,,complex
467,Adventist,['noun'],3,0,0.602059991328,4.0,True,False,False,False,False,1,,,,complex
469,spiv,['noun'],1,0,0.301029995664,2.0,True,False,False,False,False,1,,,,monomorphemic
