,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
61,succumb,['verb'],0,107,2.03342375549,0.00925925925926,False,False,False,False,True,1,0.0,0.258177,0.0,monomorphemic
195,secede,['verb'],0,14,1.17609125906,0.0666666666667,False,False,False,False,True,1,0.082353,0.629411,0.082353,monomorphemic
211,defecate,['verb'],0,18,1.27875360095,0.0526315789474,False,False,False,False,True,0,0.020681,0.512386,1e-05,obscure
256,connive,['verb'],0,15,1.20411998266,0.0625,False,False,False,False,True,1,0.072625,0.329606,0.072625,monomorphemic
626,swelter,['verb'],0,5,0.778151250384,0.166666666667,False,False,False,False,True,1,0.351642,0.457141,0.28761,monomorphemic
899,yearn,['verb'],0,102,2.01283722471,0.00970873786408,False,False,False,False,True,1,0.102548,0.249528,0.068365,monomorphemic
927,baby-sit,['verb'],0,9,1.0,0.1,False,False,False,False,True,1,0.348755,0.359431,0.348755,complex
961,hibernate,['verb'],0,17,1.2552725051,0.0555555555556,False,False,False,False,True,0,0.0,0.574767,0.0,obscure
1072,subsist,['verb'],0,32,1.51851393988,0.030303030303,False,False,False,False,True,0,0.28023,0.236095,0.140115,obscure
1093,obsolesce,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,0,,,,may_include_a_root
1355,pule,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,1,,,,monomorphemic
1503,depart,['verb'],0,350,2.54530711647,0.002849002849,False,False,False,False,True,0,0.247353,0.357489,0.212374,obscure
1574,sympathize,['verb'],0,97,1.99122607569,0.0102040816327,False,False,False,False,True,1,0.103767,0.374018,0.077825,complex
1600,dawdle,['verb'],0,42,1.63346845558,0.0232558139535,False,False,False,False,True,1,0.157636,0.380747,0.102188,monomorphemic
1823,thrive,['verb'],0,213,2.33041377335,0.00467289719626,False,False,False,False,True,1,0.147939,0.434838,0.118351,monomorphemic
1906,urinate,['verb'],0,53,1.73239375982,0.0185185185185,False,False,False,False,True,1,0.36445,0.299504,0.280346,complex
2068,copulate,['verb'],0,39,1.60205999133,0.025,False,False,False,False,True,0,0.157575,0.500005,0.121211,obscure
2576,globe-trot,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,False,True,1,,,,complex
2590,fornicate,['verb'],0,4,0.698970004336,0.2,False,False,False,False,True,0,0.0,0.598837,0.0,obscure
2814,compete,['verb'],0,469,2.67209785794,0.00212765957447,False,False,False,False,True,1,0.103521,0.397508,0.077633,monomorphemic
2816,toddle,['verb'],0,23,1.38021124171,0.0416666666667,False,False,False,False,True,1,0.031915,0.56383,0.0,monomorphemic
2943,err,['verb'],0,51,1.71600334363,0.0192307692308,False,False,False,False,True,1,0.05607,0.343662,0.05607,monomorphemic
2976,deliquesce,['verb'],0,1,0.301029995664,0.5,False,False,False,False,True,0,,,,obscure
3018,collide,['verb'],0,93,1.9731278536,0.0106382978723,False,False,False,False,True,0,0.104868,0.385443,0.078651,may_include_a_root
3304,over-eat,['verb'],0,11,1.07918124605,0.0833333333333,False,False,False,False,True,1,,,,complex
3654,coalesce,['verb'],0,32,1.51851393988,0.030303030303,False,False,False,False,True,0,0.023876,0.412883,1e-05,obscure
