,target,Categories,Nfreq,Vfreq,logfreq,NVratio,Ncount,Nmass,Vditrans,Vtrans,Vintrans,Nmorph,NPrel,Nonerel,NPOnlyrel,MorphStatus
10,regularize,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,True,False,1,0.795238,0.166666,0.609524,complex
25,stipulate,['verb'],0,37,1.57978359662,0.0263157894737,False,False,False,True,False,0,0.62671,0.051004,0.334914,obscure
110,mesmerize,['verb'],0,45,1.66275783168,0.0217391304348,False,False,False,True,False,1,0.74399,0.139579,0.495476,complex
162,outfight,['verb'],0,5,0.778151250384,0.166666666667,False,False,False,True,False,1,0.855346,0.144654,0.792453,complex
206,memorialize,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,True,False,1,0.796428,0.142857,0.532143,complex
226,allay,['verb'],0,38,1.59106460703,0.025641025641,False,False,False,True,False,1,0.911079,0.044461,0.673996,monomorphemic
227,demote,['verb'],0,23,1.38021124171,0.0416666666667,False,False,False,True,False,0,0.769152,0.137459,0.452251,obscure
237,encourage,['verb'],0,1925,3.28465628279,0.000519210799585,False,False,False,True,False,1,0.738788,0.042453,0.540837,complex
238,adapt,['verb'],0,464,2.66745295289,0.00215053763441,False,False,False,True,False,0,0.232308,0.281285,0.232288,may_include_a_root
341,expound,['verb'],0,54,1.74036268949,0.0181818181818,False,False,False,True,False,0,0.335301,0.162699,0.177784,may_include_a_root
436,eradicate,['verb'],0,56,1.75587485567,0.0175438596491,False,False,False,True,False,0,0.825718,0.076249,0.512251,obscure
540,brandish,['verb'],0,41,1.6232492904,0.0238095238095,False,False,False,True,False,0,0.941121,0.0,0.75327,may_include_a_root
623,administer,['verb'],0,210,2.3242824553,0.00473933649289,False,False,False,True,False,1,0.724944,0.145129,0.459415,complex
669,unnerve,['verb'],0,72,1.86332286012,0.013698630137,False,False,False,True,False,1,0.778674,0.118487,0.55835,complex
677,desalt,['verb'],0,1,0.301029995664,0.5,False,False,False,True,False,1,0.5,0.166667,0.333333,complex
686,circumcise,['verb'],0,29,1.47712125472,0.0333333333333,False,False,False,True,False,0,0.834952,0.165048,0.69903,obscure
817,abase,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,True,False,0,0.740741,0.185185,0.518519,may_include_a_root
904,disconnect,['verb'],0,37,1.57978359662,0.0263157894737,False,False,False,True,False,1,0.649296,0.199196,0.433334,complex
928,bedevil,['verb'],0,25,1.41497334797,0.0384615384615,False,False,False,True,False,1,0.844222,0.105527,0.55779,complex
1048,ill-use,['verb'],0,4,0.698970004336,0.2,False,False,False,True,False,1,0.533334,0.266667,0.266667,complex
1065,infuriate,['verb'],0,72,1.86332286012,0.013698630137,False,False,False,True,False,1,0.911326,0.044337,0.686864,complex
1071,transact,['verb'],0,16,1.23044892138,0.0588235294118,False,False,False,True,False,1,0.682921,0.192071,0.469508,complex
1092,stage-manage,['verb'],0,6,0.845098040014,0.142857142857,False,False,False,True,False,1,,,,complex
1108,interpellate,['verb'],0,2,0.47712125472,0.333333333333,False,False,False,True,False,0,1.0,0.0,0.6,obscure
1162,transmogrify,['verb'],0,7,0.903089986992,0.125,False,False,False,True,False,0,0.43038,0.253165,0.265823,obscure
1210,defy,['verb'],0,203,2.30963016743,0.00490196078431,False,False,False,True,False,0,0.99998,0.0,0.88093,obscure
1235,disconcert,['verb'],0,96,1.98677173427,0.0103092783505,False,False,False,True,False,1,0.679249,0.163521,0.515718,complex
1273,obstruct,['verb'],0,66,1.8260748027,0.0149253731343,False,False,False,True,False,0,0.797688,0.101156,0.558134,may_include_a_root
1278,debilitate,['verb'],0,41,1.6232492904,0.0238095238095,False,False,False,True,False,0,0.58376,0.229049,0.451247,obscure
1311,individualize,['verb'],0,28,1.4623979979,0.0344827586207,False,False,False,True,False,1,0.691011,0.207865,0.629213,complex
1347,pasteurize,['verb'],0,32,1.51851393988,0.030303030303,False,False,False,True,False,1,0.701754,0.277193,0.589473,complex
1399,indemnify,['verb'],0,1,0.301029995664,0.5,False,False,False,True,False,1,1.000001,0.0,0.524063,complex
